@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO225 :"c:\workspace\sha256-core\src\sha\sha256_core.v":105:4:105:9|There are no possible illegal states for state machine r_state[3:0] (in view: work.sha256_core(verilog)); safe FSM implementation is not required.
@N: MO231 :"c:\workspace\sha256-core\src\sha\sha256_core.v":105:4:105:9|Found counter in view:work.sha256_core(verilog) instance r_round[5:0] 
@N: BN362 :"c:\workspace\sha256-core\src\spi\spi_slave.v":22:0:22:5|Removing sequential instance r_rx[15] (in view: work.spi_slave(verilog)) because it does not drive other instances.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_words[482] (in view: work.sha256_spi(verilog)) with 11 loads 2 times to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[1] (in view: work.sha256_spi(verilog)) with 10 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_words[481] (in view: work.sha256_spi(verilog)) with 11 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[2] (in view: work.sha256_spi(verilog)) with 9 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[103] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_words[480] (in view: work.sha256_spi(verilog)) with 10 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[0] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[228] (in view: work.sha256_spi(verilog)) with 10 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[227] (in view: work.sha256_spi(verilog)) with 9 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[238] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[108] (in view: work.sha256_spi(verilog)) with 9 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[107] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[102] (in view: work.sha256_spi(verilog)) with 9 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[225] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[109] (in view: work.sha256_spi(verilog)) with 13 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[110] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[97] (in view: work.sha256_spi(verilog)) with 9 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[104] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[239] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[98] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[237] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[224] (in view: work.sha256_spi(verilog)) with 8 loads 1 time to improve timing.
@N: FX271 :"c:\workspace\sha256-core\src\sha\sha256_core.v":168:1:168:6|Replicating instance sha256_core_inst.r_variables[105] (in view: work.sha256_spi(verilog)) with 10 loads 1 time to improve timing.
